Experimento - ID: M1-D1, eficiencia: 184, accuracy: 23, precision: 24, tiempo: 3
Experimento - ID: exp1, eficiencia: 840, accuracy: 52, precision: 97, tiempo: 6
Experimento - ID: exp1, eficiencia: 537, accuracy: 84, precision: 32, tiempo: 5
Experimento - ID: exp2, eficiencia: 643, accuracy: 66, precision: 39, tiempo: 4
Experimento - ID: exp1, eficiencia: 112, accuracy: 32, precision: 35, tiempo: 10
Experimento - ID: exp2, eficiencia: 1411, accuracy: 34, precision: 83, tiempo: 2
Experimento - ID: exp1, eficiencia: 1746, accuracy: 97, precision: 54, tiempo: 3
Experimento - ID: exp2, eficiencia: 456, accuracy: 94, precision: 34, tiempo: 7
Experimento - ID: exp1, eficiencia: 171, accuracy: 26, precision: 33, tiempo: 5
Experimento - ID: exp1, eficiencia: 744, accuracy: 95, precision: 47, tiempo: 6
Experimento - ID: exp2, eficiencia: 153, accuracy: 19, precision: 81, tiempo: 10
Experimento - ID: exp1, eficiencia: 249, accuracy: 54, precision: 37, tiempo: 8
Experimento - ID: exp2, eficiencia: 2320, accuracy: 58, precision: 80, tiempo: 2
Experimento - ID: exp1, eficiencia: 1168, accuracy: 59, precision: 99, tiempo: 5
Experimento - ID: exp2, eficiencia: 741, accuracy: 78, precision: 76, tiempo: 8
Experimento - ID: exp1, eficiencia: 527, accuracy: 51, precision: 93, tiempo: 9
Experimento - ID: exp1, eficiencia: 636, accuracy: 55, precision: 81, tiempo: 7
Experimento - ID: exp1, eficiencia: 6, accuracy: 17, precision: 2, tiempo: 5
Experimento - ID: exp1, eficiencia: 570, accuracy: 31, precision: 92, tiempo: 5
Experimento - ID: exp1, eficiencia: 99, accuracy: 22, precision: 27, tiempo: 6
Experimento - ID: exp2, eficiencia: 159, accuracy: 13, precision: 86, tiempo: 7
Experimento - ID: exp1, eficiencia: 976, accuracy: 74, precision: 66, tiempo: 5
Experimento - ID: exp2, eficiencia: 303, accuracy: 78, precision: 35, tiempo: 9
Experimento - ID: exp1, eficiencia: 150, accuracy: 5, precision: 30, tiempo: 1
Experimento - ID: exp2, eficiencia: 66, accuracy: 14, precision: 33, tiempo: 7
Experimento - ID: exp1, eficiencia: 1692, accuracy: 94, precision: 36, tiempo: 2
Experimento - ID: exp1, eficiencia: 460, accuracy: 23, precision: 100, tiempo: 5
Experimento - ID: exp2, eficiencia: 216, accuracy: 8, precision: 81, tiempo: 3
Experimento - ID: exp1, eficiencia: 765, accuracy: 89, precision: 43, tiempo: 5
Experimento - ID: exp2, eficiencia: 109, accuracy: 21, precision: 52, tiempo: 10
Experimento - ID: exp1, eficiencia: 322, accuracy: 86, precision: 15, tiempo: 4
Experimento - ID: exp2, eficiencia: 203, accuracy: 44, precision: 37, tiempo: 8
Experimento - ID: exp1, eficiencia: 232, accuracy: 32, precision: 58, tiempo: 8
Experimento - ID: exp1, eficiencia: 653, accuracy: 40, precision: 49, tiempo: 3
Experimento - ID: exp1, eficiencia: 117, accuracy: 27, precision: 13, tiempo: 3
Experimento - ID: id1, eficiencia: 560, accuracy: 50, precision: 56, tiempo: 5
Experimento - ID: id1, eficiencia: 144, accuracy: 76, precision: 19, tiempo: 10
Experimento - ID: exp1, eficiencia: 80, accuracy: 10, precision: 72, tiempo: 9
Experimento - ID: exp2, eficiencia: 224, accuracy: 64, precision: 14, tiempo: 4
Experimento - ID: exp1, eficiencia: 237, accuracy: 54, precision: 44, tiempo: 10
Experimento - ID: exp2, eficiencia: 74, accuracy: 23, precision: 29, tiempo: 9
Experimento - ID: exp1, eficiencia: 10, accuracy: 1, precision: 32, tiempo: 3
Experimento - ID: exp2, eficiencia: 364, accuracy: 28, precision: 26, tiempo: 2
Experimento - ID: exp1, eficiencia: 34, accuracy: 7, precision: 49, tiempo: 10
Experimento - ID: exp1, eficiencia: 1360, accuracy: 68, precision: 80, tiempo: 4
Experimento - ID: exp2, eficiencia: 1881, accuracy: 99, precision: 95, tiempo: 5
Experimento - ID: exp1, eficiencia: 98, accuracy: 14, precision: 56, tiempo: 8
Experimento - ID: exp2, eficiencia: 117, accuracy: 69, precision: 17, tiempo: 10
Experimento - ID: exp1, eficiencia: 27, accuracy: 23, precision: 6, tiempo: 5
Experimento - ID: exp2, eficiencia: 1033, accuracy: 76, precision: 68, tiempo: 5
Experimento - ID: exp1, eficiencia: 127, accuracy: 7, precision: 73, tiempo: 4
Experimento - ID: exp1, eficiencia: 928, accuracy: 79, precision: 94, tiempo: 8
Experimento - ID: exp1, eficiencia: 31, accuracy: 62, precision: 2, tiempo: 4
Experimento - ID: id1, eficiencia: 50, accuracy: 76, precision: 6, tiempo: 9
Experimento - ID: id1, eficiencia: 294, accuracy: 98, precision: 6, tiempo: 2
Experimento - ID: exp1, eficiencia: 226, accuracy: 34, precision: 60, tiempo: 9
Experimento - ID: exp2, eficiencia: 134, accuracy: 12, precision: 67, tiempo: 6
Experimento - ID: exp1, eficiencia: 487, accuracy: 25, precision: 78, tiempo: 4
Experimento - ID: exp2, eficiencia: 350, accuracy: 98, precision: 25, tiempo: 7
Experimento - ID: exp1, eficiencia: 74, accuracy: 34, precision: 11, tiempo: 5
Experimento - ID: exp2, eficiencia: 14, accuracy: 89, precision: 1, tiempo: 6
Experimento - ID: exp1, eficiencia: 7, accuracy: 1, precision: 52, tiempo: 7
Experimento - ID: exp1, eficiencia: 543, accuracy: 47, precision: 81, tiempo: 7
Experimento - ID: exp2, eficiencia: 1085, accuracy: 62, precision: 35, tiempo: 2
Experimento - ID: exp1, eficiencia: 1350, accuracy: 54, precision: 50, tiempo: 2
Experimento - ID: exp2, eficiencia: 421, accuracy: 52, precision: 73, tiempo: 9
Experimento - ID: exp1, eficiencia: 886, accuracy: 85, precision: 73, tiempo: 7
Experimento - ID: exp2, eficiencia: 4165, accuracy: 49, precision: 85, tiempo: 1
Experimento - ID: exp1, eficiencia: 682, accuracy: 31, precision: 44, tiempo: 2
Experimento - ID: exp1, eficiencia: 62, accuracy: 16, precision: 35, tiempo: 9
Experimento - ID: exp1, eficiencia: 175, accuracy: 9, precision: 39, tiempo: 2
Experimento - ID: id1, eficiencia: 253, accuracy: 76, precision: 20, tiempo: 6
Experimento - ID: id1, eficiencia: 154, accuracy: 57, precision: 19, tiempo: 7
Experimento - ID: exp1, eficiencia: 396, accuracy: 33, precision: 12, tiempo: 1
Experimento - ID: exp2, eficiencia: 82, accuracy: 10, precision: 66, tiempo: 8
Experimento - ID: exp1, eficiencia: 151, accuracy: 55, precision: 11, tiempo: 4
Experimento - ID: exp2, eficiencia: 396, accuracy: 66, precision: 30, tiempo: 5
Experimento - ID: exp1, eficiencia: 288, accuracy: 37, precision: 78, tiempo: 10
Experimento - ID: exp2, eficiencia: 693, accuracy: 37, precision: 75, tiempo: 4
Experimento - ID: exp1, eficiencia: 85, accuracy: 9, precision: 19, tiempo: 2
Experimento - ID: exp1, eficiencia: 56, accuracy: 16, precision: 28, tiempo: 8
Experimento - ID: exp2, eficiencia: 63, accuracy: 45, precision: 14, tiempo: 10
Experimento - ID: exp1, eficiencia: 480, accuracy: 45, precision: 96, tiempo: 9
Experimento - ID: exp2, eficiencia: 154, accuracy: 15, precision: 72, tiempo: 7
Experimento - ID: exp1, eficiencia: 685, accuracy: 89, precision: 77, tiempo: 10
Experimento - ID: exp2, eficiencia: 684, accuracy: 36, precision: 76, tiempo: 4
Experimento - ID: exp1, eficiencia: 892, accuracy: 96, precision: 93, tiempo: 10
Experimento - ID: exp1, eficiencia: 384, accuracy: 96, precision: 16, tiempo: 4
Experimento - ID: exp1, eficiencia: 192, accuracy: 6, precision: 96, tiempo: 3
Experimento - ID: id1, eficiencia: 540, accuracy: 47, precision: 92, tiempo: 8
Experimento - ID: id1, eficiencia: 800, accuracy: 80, precision: 80, tiempo: 8
Experimento - ID: exp1, eficiencia: 81, accuracy: 54, precision: 12, tiempo: 8
Experimento - ID: exp2, eficiencia: 2974, accuracy: 92, precision: 97, tiempo: 3
Experimento - ID: exp1, eficiencia: 293, accuracy: 88, precision: 10, tiempo: 3
Experimento - ID: exp2, eficiencia: 164, accuracy: 2, precision: 82, tiempo: 1
Experimento - ID: exp1, eficiencia: 215, accuracy: 25, precision: 86, tiempo: 10
Experimento - ID: exp2, eficiencia: 78, accuracy: 52, precision: 15, tiempo: 10
Experimento - ID: exp1, eficiencia: 120, accuracy: 9, precision: 67, tiempo: 5
Experimento - ID: exp1, eficiencia: 174, accuracy: 87, precision: 16, tiempo: 8
Experimento - ID: exp2, eficiencia: 391, accuracy: 74, precision: 37, tiempo: 7
Experimento - ID: exp1, eficiencia: 59, accuracy: 59, precision: 10, tiempo: 10
Experimento - ID: exp2, eficiencia: 29, accuracy: 74, precision: 4, tiempo: 10
Experimento - ID: exp1, eficiencia: 366, accuracy: 100, precision: 22, tiempo: 6
Experimento - ID: exp2, eficiencia: 134, accuracy: 10, precision: 94, tiempo: 7
Experimento - ID: exp1, eficiencia: 864, accuracy: 18, precision: 48, tiempo: 1
Experimento - ID: exp1, eficiencia: 22, accuracy: 4, precision: 40, tiempo: 7
Experimento - ID: exp1, eficiencia: 133, accuracy: 19, precision: 63, tiempo: 9
Experimento - ID: id1, eficiencia: 300, accuracy: 75, precision: 40, tiempo: 10
Experimento - ID: id1, eficiencia: 268, accuracy: 61, precision: 22, tiempo: 5
